iter	Passed	Remaining
705	63886	26604
706	64020	26531
707	64135	26451
708	64245	26368
709	64274	26253
710	64387	26171
711	64469	26077
712	64542	25979
713	64609	25880
714	64717	25796
715	64784	25696
716	64868	25603
717	64935	25504
718	65000	25403
719	65074	25306
720	65105	25193
721	65203	25106
722	65245	24997
723	65320	24901
724	65391	24803
725	65467	24707
726	65573	24623
727	65680	24539
728	65779	24453
729	65864	24360
730	65899	24250
731	65922	24135
732	65994	24038
733	66068	23942
734	66152	23850
735	66183	23739
736	66260	23645
737	66286	23532
738	66366	23439
739	66444	23345
740	66516	23249
741	66596	23156
742	66664	23058
743	66751	22968
744	66825	22873
745	66933	22789
746	67010	22695
747	67088	22602
748	67181	22513
749	67285	22428
750	67385	22342
751	67468	22250
752	67541	22155
753	67622	22062
754	67688	21965
755	67773	21873
756	67845	21778
757	67922	21685
758	68029	21601
759	68142	21518
760	68252	21435
761	68356	21350
762	68385	21241
763	68485	21155
764	68592	21070
765	68628	20964
766	68735	20880
767	68820	20789
768	68900	20697
769	68930	20589
770	69050	20509
771	69180	20431
772	69280	20344
773	69383	20259
774	69506	20179
775	69543	20074
776	69620	19981
777	69696	19887
778	69772	19794
779	69858	19703
780	69961	19617
781	70063	19531
782	70161	19444
783	70236	19351
784	70304	19255
785	70379	19161
786	70459	19069
787	70533	18976
788	70615	18884
789	70689	18790
790	70760	18696
791	70878	18614
792	70983	18529
793	71099	18446
794	71217	18364
795	71334	18281
796	71453	18199
797	71558	18113
798	71652	18025
799	71742	17935
800	71845	17849
801	71934	17759
802	72011	17666
803	72093	17575
804	72170	17482
805	72208	17380
806	72242	17277
807	72306	17181
808	72374	17087
809	72446	16993
810	72513	16898
811	72582	16804
812	72669	16714
813	72754	16624
814	72790	16523
815	72889	16435
816	72990	16349
817	73069	16257
818	73144	16165
819	73223	16073
820	73297	15980
821	73373	15888
822	73441	15794
823	73514	15702
824	73582	15608
825	73656	15515
826	73729	15423
827	73747	15319
828	73822	15227
829	73891	15134
830	73962	15041
831	74033	14949
832	74115	14858
833	74188	14766
834	74264	14674
835	74291	14573
836	74357	14480
837	74432	14389
838	74453	14287
839	74522	14194
840	74593	14102
841	74658	14009
842	74701	13912
843	74741	13814
844	74810	13722
845	74875	13629
846	74948	13538
847	75033	13449
848	75127	13361
849	75176	13266
850	75246	13174
851	75309	13081
852	75335	12982
853	75424	12894
854	75496	12803
855	75567	12712
856	75643	12621
857	75716	12531
858	75784	12439
859	75854	12348
860	75938	12259
861	76010	12168
862	76089	12079
863	76171	11989
864	76198	11892
865	76273	11802
866	76349	11712
867	76415	11620
868	76480	11529
869	76550	11438
870	76626	11348
871	76698	11258
872	76777	11169
873	76851	11079
874	76934	10990
875	77004	10900
876	77083	10811
877	77159	10721
878	77236	10632
879	77312	10542
880	77406	10455
881	77440	10360
882	77528	10272
883	77607	10183
884	77695	10096
